195,241,3,881250949
185,301,3,891717742
21,376,1,878887116
165,345,1,886397596
114,264,2,881171488
5,85,3,883603013
61,256,2,879372434
199,221,5,876042340
121,386,5,879270459
193,273,2,879539794
118,391,4,886176814
166,485,4,892738452
94,545,2,879196566
37,94,5,892430094
101,767,2,883748450
62,276,4,875747401
159,233,5,876861185
49,245,3,877052329
96,193,3,884238860
156,273,4,886890835
6,31,4,891350932
9,15,4,877888877
98,3,5,886519097
177,331,3,882823437
80,431,2,876535131
24,180,5,885853415
58,195,5,888205088
71,678,2,880037164
41,422,5,881107687
114,19,3,881171009
19,287,1,879667584
12,525,3,882141053
137,25,5,879024232
166,231,1,892738341
56,303,5,883698581
188,511,4,893277702
193,164,4,879546723
126,228,5,884364867
41,402,3,881108684
10,110,4,891903862
94,624,4,888954412
7,337,4,879361873
161,24,4,877635573
144,274,2,885557505
61,497,4,879373848
61,381,3,879375537
134,22,4,879857765
31,293,3,883709863
89,381,5,891383835
165,327,5,886397722
159,173,5,876860807
197,497,3,884207492
41,95,5,881107178
109,306,4,886987260
89,647,4,891384754
61,20,3,879373460
93,788,4,891720887
127,484,3,879966895
43,194,5,878347874
193,384,2,879524643
40,264,3,890687042
81,134,3,878769629
58,22,5,888205300
6,478,4,891352010
173,367,1,886434402
86,273,4,879876734
12,835,2,882139746
12,271,4,884538403
94,786,2,888954930
42,13,2,883955745
83,404,3,883452363
193,465,4,879525876
159,134,4,876860807
98,267,3,885678247
9,485,4,877886846
120,513,3,891387947
89,97,5,891383204
41,793,3,881108425
154,322,2,879371261
67,116,4,876973939
171,176,4,875537965
18,3,4,885412840
4,1,3,875636053
43,293,4,883612356
42,136,4,875975656
79,465,5,887401701
65,297,4,883601324
17,442,3,880130193
98,78,4,885680138
12,97,4,881515011
25,257,3,891347949
199,672,5,884128554
118,327,4,876923913
129,378,4,875801662
25,929,2,891385985
129,215,4,875216545
71,47,4,880036718
55,754,3,892910207
12,359,4,882140926
14,404,2,879455957
91,76,3,875654637
180,219,4,878962392
160,201,5,891170769
147,407,5,877399018
124,234,2,892838559
82,233,4,887665548
124,477,4,879454628
109,687,1,886987605
150,9,5,879524921
5,13,5,883599249
53,105,3,880937882
15,943,1,877727122
86,553,4,879875940
177,567,4,882826555
61,64,4,879374686
91,171,4,875653271
35,338,5,882157581
69,745,3,884150257
62,241,3,875747190
193,53,3,879525876
118,236,5,874775038
65,257,4,883601089
82,622,4,880308578
191,475,2,881368243
99,343,4,891374868
82,575,4,880308755
180,263,2,878961624
37,152,5,892430369
180,871,1,878961814
84,506,4,879456199
58,467,3,888205855
112,594,5,875936424
188,519,5,893265380
122,426,3,879873020
118,221,5,874775311
157,176,4,880134407
180,2,2,878963441
12,197,3,881515193
0,188,3,888732928
144,236,5,875270570
22,384,4,874786462
41,545,3,881105817
32,871,3,891964230
15,63,5,877720297
94,134,3,879197562
153,356,4,879138713
76,483,5,884733766
12,214,5,882140588
15,704,5,877722736
144,14,2,875270655
186,63,5,879465631
169,748,5,887646170
100,828,3,877136138
183,217,3,889909840
127,203,4,879967478
183,152,3,889911285
0,32,4,878542699
0,159,4,875072547
183,320,5,889906967
53,594,3,880937813
93,342,4,891725009
127,507,4,879967767
22,322,2,874784266
111,902,1,892440172
81,182,3,878769848
132,750,3,890588547
68,255,5,882126156
