0    0    7.0    964982620
0    1    6.0    964982620
0    2    7.0    964982620
0    3    4.0    964982620
0    4    5.0    964982620
0    5    4.0    964982290
1    0    6.0    964981125
1    1    7.0    964982346
1    3    4.0    964982346
1    4    3.0
1    5    4.0
2    1    3.0    964982346
2    2    3.0    964982346
2    3    1.0    964982346
2    4    1.0    964982346
3    0    1.0
3    1    2.0
3    2    2.0
3    3    3.0
3    4    3.0
3    5    4.0
4    0    1.0    964982346
4    2    1.0    964982346
4    3    2.0    964982346
4    4    3.0    964982346
4    5    3.0    964982346
