5,69,4,874873423
3,145,4,887831947
4,190,4,889333676
5,78,4,874873571
5,9,2,882100955
4,312,3,889334217
2,258,5,880472148
3,277,4,887831115
3,180,4,887910623
5,93,5,878044851
5,64,4,874874630
5,159,3,874874458
4,347,1,888631208
3,13,5,887838450
4,97,5,889334274
4,67,4,889334096
13,28,4,875311225
13,345,5,875309276
23,259,5,884636152
3,354,4,887841177
23,214,2,884637409
3,1,4,887839835
7,334,4,883775341
27,84,2,886101872
14,289,2,887660131
3,16,3,887841177
3,318,3,887841248
23,249,2,884637528
29,126,4,883784654
23,204,1,884637566
1,282,3,883702867
31,202,5,893119491
23,202,3,884637376
3,3,4,887910370
5,378,2,885135954
13,1,4,875463245
7,167,4,883777237
32,76,4,880402957
2,1,3,880383467
3,2,3,887910409
22,261,4,883703070
4,304,3,889333758
32,125,2,879191265
4,21,3,889333975
3,128,4,887832391
12,71,4,885062636
26,187,4,879456289
13,347,2,875463906
23,78,4,884637314
34,118,3,879617931
34,114,3,879619224
26,214,4,879456312
23,22,4,884635358
5,74,1,874862229
31,345,5,893119438
32,194,2,887032451
31,368,2,888630531
34,388,2,879618613
32,181,3,879192278
36,125,3,886031720
3,292,4,887832741
32,250,4,888845036
13,208,4,875462826
23,82,4,884634533
3,18,3,887832643
32,49,5,879191713
36,201,3,886031634
33,54,5,877807816
32,323,4,888347691
36,281,1,886029083
4,222,3,889333365
5,109,5,874873067
26,245,5,879455792
36,156,3,886032245
40,355,4,883866028
36,103,3,886030652
23,9,2,884832742
32,272,3,879439143
3,42,3,887910511
31,254,5,892861435
8,279,1,883591252
23,301,4,884636262
5,119,5,878044852
34,105,5,879617819
22,115,5,883702863
36,106,4,886030966
12,145,4,885062601
34,261,3,879618414
31,11,2,874795951
29,134,4,886198575
31,291,5,893119336
13,157,4,875318114
40,253,3,883875215
36,169,2,886031831
17,362,1,876823994
36,74,4,886029727
44,153,3,879899497
5,62,3,874873157
5,1,4,877539905
4,250,3,889333598
41,247,4,886532950
32,74,1,879192500
47,289,3,891042475
6,281,5,889964620
31,289,4,876696258
45,12,4,885140808
7,101,4,883776778
23,126,5,884634785
47,235,4,891044538
3,19,3,887840560
36,286,1,886029526
23,66,4,884635287
31,362,5,892866230
31,131,3,887040858
36,262,3,886031540
31,91,4,888637105
5,202,5,874873198
4,165,3,889334503
32,4,3,879192793
17,146,3,876823645
24,10,3,881086612
50,283,5,892783212
50,177,5,892784672
26,233,5,879456363
50,355,1,892784437
36,128,3,886031375
41,345,4,886532838
5,277,3,879074774
34,88,4,879619000
23,341,3,884627446
3,315,4,887909532
23,105,4,884634938
50,4,3,892783612
41,107,3,886532762
34,53,3,879617894
52,104,5,879949107
15,122,3,891290649
31,281,4,877898976
7,35,4,883777109
50,151,3,892784259
34,206,5,879618700
32,124,3,879191770
5,254,4,874873892
2,113,3,880472102
31,114,5,889327324
5,207,4,874874055
27,350,4,888520371
20,26,3,884477630
52,110,5,879948869
5,245,4,874874947
17,316,5,876823963
2,206,5,880472272
58,123,3,891035917
49,4,4,883426027
50,289,5,892775584
22,148,4,883703144
40,19,4,883874749
3,166,2,887839196
32,145,3,879192769
52,122,4,879948508
23,89,3,884634679
17,57,3,876823266
26,112,4,879456030
5,331,4,874874109
